Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,Player-additional
162,Aaron Nesmith,SF,23,IND,49,37,1187,163,394,.414,72,207,.348,91,187,.487,.505,75,86,.872,39,141,180,58,39,21,46,167,473,nesmiaa01
163,Rui Hachimura,PF,24,TOT,37,5,915,189,387,.488,36,106,.340,153,281,.544,.535,58,83,.699,31,140,171,38,14,13,38,45,472,hachiru01
164,Grant Williams,PF,24,BOS,54,19,1490,160,337,.475,83,197,.421,77,140,.550,.598,68,81,.840,58,194,252,90,34,21,57,140,471,willigr01
165,Clint Capela,C,28,ATL,39,37,1047,211,333,.634,0,1,.000,211,332,.636,.634,48,78,.615,162,282,444,29,26,46,32,85,470,capelca01
166,Shake Milton,SG,26,PHI,49,9,1085,181,364,.497,39,102,.382,142,262,.542,.551,69,82,.841,27,113,140,155,18,8,68,83,470,miltosh01
167,Mike Conley,PG,35,UTA,43,42,1276,153,375,.408,77,213,.362,76,162,.469,.511,78,96,.813,17,90,107,330,44,10,74,94,461,conlemi01
168,Caleb Martin,PF,27,MIA,45,45,1379,173,378,.458,62,166,.373,111,212,.524,.540,51,66,.773,63,166,229,76,47,17,51,99,459,martica02
169,Georges Niang,PF,29,PHI,51,0,1012,159,356,.447,113,275,.411,46,81,.568,.605,28,32,.875,14,111,125,61,22,11,38,96,459,niangge01
170,Bogdan Bogdanović,SG,30,ATL,30,5,911,169,391,.432,84,223,.377,85,168,.506,.540,35,46,.761,12,92,104,94,26,9,39,51,457,bogdabo01
171,Marcus Smart,PG,28,BOS,41,41,1330,164,389,.422,73,219,.333,91,170,.535,.515,56,73,.767,30,110,140,294,53,17,97,109,457,smartma01
172,Jalen Smith,PF,22,IND,48,28,905,170,367,.463,41,147,.279,129,220,.586,.519,75,98,.765,85,190,275,48,17,38,56,107,456,smithja04
173,Brandon Ingram,SF,25,NOP,21,21,672,162,354,.458,31,81,.383,131,273,.480,.501,99,113,.876,10,98,108,107,17,12,67,50,454,ingrabr01
174,Cole Anthony,PG,22,ORL,37,3,933,153,347,.441,41,121,.339,112,226,.496,.500,98,110,.891,22,146,168,147,23,20,56,94,445,anthoco01
175,Jeremy Sochan,PF,19,SAS,45,42,1161,181,396,.457,26,97,.268,155,299,.518,.490,57,84,.679,75,143,218,112,34,19,77,117,445,sochaje01
176,Daniel Gafford,C,24,WAS,52,21,959,177,240,.738,0,0,,177,240,.738,.738,85,132,.644,104,171,275,42,19,68,48,114,439,gaffoda01
177,Corey Kispert,SF,23,WAS,46,30,1258,151,320,.472,85,206,.413,66,114,.579,.605,50,58,.862,20,105,125,61,27,5,36,63,437,kispeco01
